"","stid","lng","lat","wp90","wpc","wpmax","wh90","wh4mH","whmax","nc_ubedmean","Ubms","T1h","T2h"
"353","15007_28",144.03825066,-11.5038679841455,1.36719326476031,206.283144463019,1.64281693340008,0.439838974388061,0,0.442714301122444,0.137084589421865,0,0,0
"354","15007_29",144.038371214889,-11.504113549777,1.36719326476031,206.271866304832,1.64281693340008,0.439837279030829,0,0.44269734755013,0.115281527600553,0,0,0
"355","15007_31",144.038626498095,-11.5046565176182,1.35621442639918,205.32617452344,1.63143112091157,0.439804917946033,0,0.442552309313904,0.126039829579673,0,0,0
"356","15007_34",144.039325638302,-11.5049396722633,1.37985157395085,208.445381071206,1.65373793317488,0.439666195148083,0,0.442290085496498,0.12273191934866,0,0,0
"357","15007_36",144.039735981143,-11.5052812045706,1.3921634125727,210.152931973286,1.67037895204243,0.440121118523655,0,0.442710650542712,0.112981221288315,0,0,0
"358","15007_37",144.040093983488,-11.5054457037201,1.39236025341389,210.194711467971,1.67037895204243,0.440546178903067,0,0.443142263049909,0.109626711726227,0,0,0
"359","15007_38",144.040432864848,-11.5056067251507,1.40114935857717,211.29798296467,1.67862660797765,0.440835183281181,0,0.443409264499497,0.12390057276645,0,0,0
"360","15007_39",144.040767418095,-11.505822942142,1.41359636435351,212.761024017759,1.69493523355307,0.441696665865153,0,0.444268682242457,0.110493236696405,0,0,0
"361","15007_49",144.043105820227,-11.5072249449992,1.35089700501362,206.29954971083,1.63256564597513,0.442937016912662,0,0.445513421973141,0.148579464668556,0,0,0
"362","15007_51",144.043502962424,-11.5075729857568,1.31382851173081,200.993488957365,1.5992482908957,0.442755764695248,0,0.445315634062601,0.103101286231943,0,0,0
"363","15007_6",144.03346899525,-11.5020813942492,1.39156452331031,207.967679541,1.69396673662669,0.438584443678613,0,0.441888157434328,0.123953517458698,0,0,0
"364","15007_8",144.033822846562,-11.5026011381242,1.39809580658284,208.685571140809,1.69396673662669,0.438137886935972,0,0.441400079292277,0.145534902747842,0,0,0
"365","15007_9",144.034224524154,-11.5026517523069,1.37285340636653,206.506643005238,1.66243012368015,0.437633375233847,0,0.440908831917966,0.139607231691504,0,0,0
"366","14009_10",145.806123171158,-16.1327439966657,1.51709908684733,320.16363265607,2.53052013988432,1.00527787956148,0,1.22446488520179,0.174594655867585,0.06,0,0
"367","14009_11",145.806165012251,-16.1330300514236,1.65175721197488,332.183432973324,2.73389698847527,1.04522111892259,0,1.27482200540168,0.178331819021832,0.08,0,0
"368","14009_13",145.806428429429,-16.1334352941132,1.89924486821862,367.066124401979,3.30587560219502,1.10530749890148,0,1.37588458020009,0.267215722198411,0.22,0.4,0
"369","14009_14",145.806590415432,-16.133629503641,2.17844352078675,407.514240103902,3.97191555395828,1.16784378522947,0,1.48316511021952,0.243529546416259,0.41,4.3,0
"370","14009_15",145.806860346439,-16.1337820350988,2.17844352078675,396.076799285959,3.97191555395828,1.16784378522947,0,1.48316511021952,0.239187800880953,0.48,6,0
"371","14009_16",145.806981046356,-16.1340906062715,2.71263611593595,449.876879578357,4.93145860852026,1.27331886522591,0,1.61966510518532,0.180500998979335,0.28,0,0
"372","14009_19",145.807762588215,-16.1340505470361,2.50252141290413,391.188385321775,4.53424024755713,1.22939697742813,0,1.56057365279883,0.26960290942427,0.52,7.9,0
"373","14009_20",145.808091832011,-16.1340102249462,2.47730463187433,374.420860959396,4.50688952956294,1.22717936019614,0,1.5559388850707,0.297040805451606,0.61,9.9,0
